dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl
310.85,2997.94,1873.77,250.15,4248.8,106113,5931484.9,2.3917165,6.010417,1.35343,57.45,0.20211299,96.09,0.10868013,0.135415678,27679.7
332.03,3242.37,2113.17,184.81,5671.25,128573,6645286,2.5684765,6.290025,1.33879,58.76,0.20112083,101.13,0.11669115,0.137474787,29379.9
127.06,3158.08,1903.57,281.58,1766.4,229514,10778634,3.0170489,5.230785,0.985526,67.15,0.12945732,118.7,1.0896123,0.133740902,21268
184.78,3325.2,2081.7,355.36,2768.1,264265,12374791,3.1268516,5.602921,1.03207,68.09,0.1346303,138.16,1.0816023,0.127167347,23420.8
201.53,3597.68,2174.12,390.49,2493.5,278358,13752869,3.1382358,5.990863,1.03988,68.62,0.13497508,139.35,0.97006778,0.123830142,25685
240.95,4765.46,2682.67,497.1,3150.03,355939,15205497,3.516555,6.451626,1.10955,69.51,0.17617567,133.47,0.85217551,0.12241812,27858.9
248,6515.61,2779.39,556.57,1991.31,505667,16762749,3.5960414,6.967115,1.2159,70.15,0.16629899,130.46,0.77228929,0.12180367,30295.8
296.17,6482.33,3246.83,397.87,3579.7,627834,18650313,3.5735676,7.621836,1.28451,70.74,0.16763214,132.48,0.74162438,0.122504332,33003.3
331.92,8149.07,3597.84,449.03,7798.43,793819,21072031,3.8366484,8.162462,1.32152,71.81,0.1616947,148.27,0.71802707,0.125085293,35809.9
360.61,8537.98,3801.64,611.84,12046.4,807700,23148566,3.7192276,8.695649,1.38968,72.65,0.16065458,143.5,0.66222565,0.128609056,39014.3
379.53,8653.23,3889.99,534.68,15025.3,967204,24999527,4.1830547,8.8521,1.42588,74.15,0.15737313,123.3,0.63770799,0.130939604,41028.6
89.35,848.02,507.1,7.03,342.2,13610,702225.1,2.1727563,2.4181,1.03797,43.48,0.2290147,62.1,0.16465609,0.149698786,12644
141.46,978.8,559.6,9.23,435.3,23251,817062.9,2.2478696,2.6416,1.15694,45.11,0.22205476,62.2,0.16332,0.148642211,14082.3
166.12,1126.16,592.43,26.43,465.9,32298,848807.5,2.3205352,2.8603,1.17166,46.54,0.22202602,74.75,0.18331406,0.148996604,15557.1
207.23,1530.91,715.78,37.6,607.89,43696,769189.7,2.4348335,3.089,1.26903,47.99,0.24194971,74.96,0.21504032,0.15027726,16873.4
223.32,2094.87,789.95,52.23,388.96,59239,827248,2.5176988,3.334,1.36904,49.24,0.24248211,78.01,0.19629183,0.152773132,18305.1
261.94,2216.39,967.97,52.89,711.65,56988,935995.6,2.7600811,3.6441,1.42942,50.59,0.26499385,89.77,0.21965697,0.155838415,19904.8
289.25,2760.11,1230.57,52.67,2053.66,44224,891031.1,2.7749943,3.9837,1.48126,51.82,0.26093587,102.42,0.21004851,0.160298181,21485
309.91,3022.98,1447.4,125.26,3587.8,41900,1044742.2,2.9261661,4.2778,1.53283,52.98,0.27550602,103.38,0.22160604,0.165520715,23328.2
325.17,3356.21,1650.84,112.06,4826.86,51712,1133331.9,3.1531049,4.4237,1.62174,54.2,0.27889848,106.39,0.21920591,0.168930943,24562.3
